fates_name,min_value,max_value,mean,sp,allom_mod
fates_allom_d2h1,0.872877049439894,0.904803517631705,0.8888402835358,PIPO-CADE-ABCO,obrien
fates_allom_d2h2,-0.156345420107256,-0.103445615943331,-0.129895518025293,PIPO-CADE-ABCO,obrien
fates_allom_d2h1,0.507438794239774,0.622388163788252,0.564913479014013,QUAG,obrien
fates_allom_d2h2,0.02305451379893,0.223780880140419,0.123417696969675,QUAG,obrien
fates_allom_d2bl1,-3624017.47268526,3624018.54044371,0.533879226773156,ABCO,d2blmax_salda
fates_allom_d2bl2,1.26597514898713,1.60823663084011,1.43710588991362,ABCO,d2blmax_salda
fates_allom_d2bl3,-8391299.73133574,8391303.09158329,1.68012377618306,ABCO,d2blmax_salda
fates_allom_d2bl1,0.128261208904182,0.421666720745036,0.274963964824609,ABCO,d2blmax_2pwr
fates_allom_d2bl2,1.26804806611051,1.606218192315,1.43713312921275,ABCO,d2blmax_2pwr
fates_allom_d2bl1,-596860.918599254,596861.166210527,0.123805636928628,PIPO,d2blmax_salda
fates_allom_d2bl2,1.89711924820766,2.12530277678717,2.01121101249741,PIPO,d2blmax_salda
fates_allom_d2bl3,-5970686.98051094,5970693.17153955,3.09551430288023,PIPO,d2blmax_salda
fates_allom_d2bl1,0.010804285867194,0.029869450530712,0.020336868198953,PIPO,d2blmax_2pwr
fates_allom_d2bl2,1.89974477435625,2.1226763416142,2.01121055798523,PIPO,d2blmax_2pwr
fates_allom_d2bl1,-0.047386495514609,0.162548021262085,0.057580762873738,QUAG,d2blmax_2pwr
fates_allom_d2bl2,1.45057741927122,2.33460720486356,1.89259231206739,QUAG,d2blmax_2pwr
fates_allom_d2ca_coefficient_min,0.256954336176624,0.370096459695733,0.313525397936178,PIPO,carea_2pwr
fates_allom_d2ca_coefficient_max,0.256954336176624,0.370096459695733,0.313525397936178,PIPO,carea_2pwr
fates_allom_blca_expnt_diff,-0.727440472129993,-0.858951749543723,-0.793196110836858,PIPO,carea_2pwr
fates_allom_blca_expnt_diff,-0.095743763884247,-0.342493600244516,-0.219118682064381,ABCO,carea_2pwr
fates_allom_d2ca_coefficient_min,0.63321769604834,1.64406949111988,1.13864359358411,QUAG,carea_2pwr
fates_allom_d2ca_coefficient_max,0.63321769604834,1.64406949111988,1.13864359358411,QUAG,carea_2pwr
fates_allom_blca_expnt_diff,-0.341423639193763,-1.02657960302856,-0.684001621111164,QUAG,carea_2pwr
fates_allom_agb1,0.063035783054481,0.066425666491604,0.064730724773042,Pinus ponderosa,d2bagw_2pwr
fates_allom_agb2,2.47599326731735,2.48832738486224,2.48216032608979,Pinus ponderosa,d2bagw_2pwr
fates_allom_agb1,0.011269181055527,0.015407055972552,0.01333811851404,Abies grandis,d2bagw_2pwr
fates_allom_agb2,2.90050998786345,2.99439236716779,2.94745117751562,Abies grandis,d2bagw_2pwr
fates_allom_agb1,0.082064451224582,0.088614565764954,0.085339508494768,Quercus agrifolia,d2bagw_2pwr
fates_allom_agb2,2.47960833379828,2.49661682840358,2.48811258110093,Quercus agrifolia,d2bagw_2pwr
