,,Pctile,Pctile,Pctile,Pctile,Pctile
Member,,M1,M2,M3,M4,M5
Parameter,Pft,,,,,
fates_alloc_storage_cushion,oak,42,49,56,58,42
fates_allom_agb1,oak,97,34,98,91,45
fates_allom_d2ca_coefficient_max,shrub,98,8,52,64,68
fates_fire_alpha_SH,oak,94,48,60,3,40
fates_fire_drying_ratio,all,63,39,73,8,83
fates_fire_frac_resprout,shrub,60,5,70,55,19
fates_frag_maxdecomp,all,87,98,10,81,42
fates_frag_seed_decay_rate,shrub,66,11,33,62,85
fates_leaf_slatop,cedar,97,56,73,92,34
fates_leaf_slatop,fir,97,56,73,92,34
fates_leaf_slatop,oak,90,94,32,86,77
fates_leaf_slatop,pine,97,59,92,79,57
fates_leaf_vcmax25top,cedar,38,44,5,9,38
fates_leaf_vcmax25top,fir,44,48,15,10,62
fates_leaf_vcmax25top,oak,72,20,92,63,31
fates_leaf_vcmax25top,pine,13,38,60,33,75
fates_leaf_vcmax25top,shrub,31,29,83,8,74
fates_nonhydro_smpsc,cedar,61,88,8,85,38
fates_nonhydro_smpsc,fir,34,11,54,29,71
fates_nonhydro_smpsc,pine,74,25,0,11,59
fates_recruit_seed_alloc_mature,pine,84,23,4,72,2
fates_recruit_seed_dbh_repro_threshold,pine,39,58,67,73,54
fates_recruit_seed_germination_rate,pine,68,86,18,41,87
fates_turnover_leaf,oak,0,44,96,12,53
fates_turnover_leaf,shrub,1,19,51,18,51
